country;;AT (total heat demand MW)
2017-01-16T15:00:00Z;2017-01-16T16:00:00;11958
2017-01-16T16:00:00Z;2017-01-16T17:00:00;12255
2017-01-16T17:00:00Z;2017-01-16T18:00:00;12315
2017-01-16T18:00:00Z;2017-01-16T19:00:00;12215
2017-01-16T19:00:00Z;2017-01-16T20:00:00;11816
2017-01-16T20:00:00Z;2017-01-16T21:00:00;10706
2017-01-16T21:00:00Z;2017-01-16T22:00:00;8530
2017-01-16T22:00:00Z;2017-01-16T23:00:00;6949
2017-01-16T23:00:00Z;2017-01-17T00:00:00;6109
2017-01-17T00:00:00Z;2017-01-17T01:00:00;6243
2017-01-17T01:00:00Z;2017-01-17T02:00:00;6438
2017-01-17T02:00:00Z;2017-01-17T03:00:00;6930
2017-01-17T03:00:00Z;2017-01-17T04:00:00;8136
2017-01-17T04:00:00Z;2017-01-17T05:00:00;11259
2017-01-17T05:00:00Z;2017-01-17T06:00:00;13442
2017-01-17T06:00:00Z;2017-01-17T07:00:00;12812
2017-01-17T07:00:00Z;2017-01-17T08:00:00;12364
2017-01-17T08:00:00Z;2017-01-17T09:00:00;11814
2017-01-17T09:00:00Z;2017-01-17T10:00:00;11253
2017-01-17T10:00:00Z;2017-01-17T11:00:00;10908
2017-01-17T11:00:00Z;2017-01-17T12:00:00;10547
2017-01-17T12:00:00Z;2017-01-17T13:00:00;10324
2017-01-17T13:00:00Z;2017-01-17T14:00:00;10340
2017-01-17T14:00:00Z;2017-01-17T15:00:00;10537
2017-01-17T15:00:00Z;2017-01-17T16:00:00;11045
2017-01-17T16:00:00Z;2017-01-17T17:00:00;11482
2017-01-17T17:00:00Z;2017-01-17T18:00:00;11597
2017-01-17T18:00:00Z;2017-01-17T19:00:00;11497
2017-01-17T19:00:00Z;2017-01-17T20:00:00;11141
2017-01-17T20:00:00Z;2017-01-17T21:00:00;10180
2017-01-17T21:00:00Z;2017-01-17T22:00:00;8103
2017-01-17T22:00:00Z;2017-01-17T23:00:00;6560
2017-01-17T23:00:00Z;2017-01-18T00:00:00;6698
2017-01-18T00:00:00Z;2017-01-18T01:00:00;6924
2017-01-18T01:00:00Z;2017-01-18T02:00:00;6966
2017-01-18T02:00:00Z;2017-01-18T03:00:00;7565
2017-01-18T03:00:00Z;2017-01-18T04:00:00;9027
2017-01-18T04:00:00Z;2017-01-18T05:00:00;12338
2017-01-18T05:00:00Z;2017-01-18T06:00:00;13775
2017-01-18T06:00:00Z;2017-01-18T07:00:00;13029
2017-01-18T07:00:00Z;2017-01-18T08:00:00;12669
2017-01-18T08:00:00Z;2017-01-18T09:00:00;12183
2017-01-18T09:00:00Z;2017-01-18T10:00:00;11658
2017-01-18T10:00:00Z;2017-01-18T11:00:00;11338
2017-01-18T11:00:00Z;2017-01-18T12:00:00;11022
2017-01-18T12:00:00Z;2017-01-18T13:00:00;10905
2017-01-18T13:00:00Z;2017-01-18T14:00:00;11084
2017-01-18T14:00:00Z;2017-01-18T15:00:00;11314
2017-01-18T15:00:00Z;2017-01-18T16:00:00;11735
2017-01-18T16:00:00Z;2017-01-18T17:00:00;12240
2017-01-18T17:00:00Z;2017-01-18T18:00:00;12345
2017-01-18T18:00:00Z;2017-01-18T19:00:00;12247
2017-01-18T19:00:00Z;2017-01-18T20:00:00;11931
2017-01-18T20:00:00Z;2017-01-18T21:00:00;10893
2017-01-18T21:00:00Z;2017-01-18T22:00:00;8719
2017-01-18T22:00:00Z;2017-01-18T23:00:00;7224
2017-01-18T23:00:00Z;2017-01-19T00:00:00;7292
2017-01-19T00:00:00Z;2017-01-19T01:00:00;7510
2017-01-19T01:00:00Z;2017-01-19T02:00:00;7688
2017-01-19T02:00:00Z;2017-01-19T03:00:00;8260
2017-01-19T03:00:00Z;2017-01-19T04:00:00;9465
2017-01-19T04:00:00Z;2017-01-19T05:00:00;12791
2017-01-19T05:00:00Z;2017-01-19T06:00:00;15300
2017-01-19T06:00:00Z;2017-01-19T07:00:00;14690
2017-01-19T07:00:00Z;2017-01-19T08:00:00;14306
2017-01-19T08:00:00Z;2017-01-19T09:00:00;13782
2017-01-19T09:00:00Z;2017-01-19T10:00:00;13200
2017-01-19T10:00:00Z;2017-01-19T11:00:00;12653
2017-01-19T11:00:00Z;2017-01-19T12:00:00;12301
2017-01-19T12:00:00Z;2017-01-19T13:00:00;12201
2017-01-19T13:00:00Z;2017-01-19T14:00:00;12261
2017-01-19T14:00:00Z;2017-01-19T15:00:00;12457
2017-01-19T15:00:00Z;2017-01-19T16:00:00;12937
2017-01-19T16:00:00Z;2017-01-19T17:00:00;13350
